Confucio		Me lo contaron y lo olvidé, lo vi y lo entendí, lo hice y lo aprendí.
Confucio		Exígete mucho a ti mismo y espera poco de los demás. Así te ahorrarás disgustos.
Confucio		Es posible conseguir algo luego de tres horas de pelea, pero es seguro que se podrá conseguir con apenas tres palabras impregnadas de afecto.
Confucio		La sabiduría se preocupa de ser lenta en sus discursos y diligente en sus acciones.
Confucio		Antes de empezar un viaje de venganza cava dos tumbas.
Confucio		Si ya sabes lo que tienes que hacer y no lo haces entonces estás peor que antes.
Confucio		Yo no procuro conocer las preguntas; procuro conocer las respuestas.
de Calcuta	Madre Teresa	Ama hasta que te duela. Si te duele es buena señal.
de Cervantes Saavedra	Miguel	La senda de la virtud es muy estrecha y el camino del vicio, ancho y espacioso. 
de Cervantes Saavedra	Miguel	Amor y deseo son dos cosas diferentes; que no todo lo que se ama se desea, ni todo lo que se desea se ama. 
de Cervantes Saavedra	Miguel	Si los celos son señales de amor, es como la calentura en el hombre enfermo, que el tenerla es señal de tener vida, pero vida enferma y mal dispuesta. 
de Cervantes Saavedra	Miguel	El que no sabe gozar de la ventura cuando le viene, no debe quejarse si se pasa. 
de Cervantes Saavedra	Miguel	El que lee mucho y anda mucho, ve mucho y sabe mucho. 
de Cervantes Saavedra	Miguel	Donde una puerta se cierra, otra se abre. 
de Cervantes Saavedra	Miguel	Sé breve en tus razonamientos, que ninguno hay gustoso si es largo. 
de Cervantes Saavedra	Miguel	Las honestas palabras nos dan un claro indicio de la honestidad del que las pronuncia o las escribe. 
de Cervantes Saavedra	Miguel	La abundancia de las cosas, aunque no sean buenas, hacen que no se estimen, y la carestía, aun de las malas, se estima en algo. 
de Cervantes Saavedra	Miguel	El sueño es el alivio de las miserias para los que las sufren despiertos. 
de Cervantes Saavedra	Miguel	El retirarse no es huir, ni el esperar es cordura cuando el peligro sobrepuja a la esperanza. 
de Cervantes Saavedra	Miguel	Lo que el cielo tiene ordenado que suceda, no hay diligencia ni sabiduría humana que lo pueda prevenir. 
de Cervantes Saavedra	Miguel	Quien no puede guardar sus pensamientos dentro de sí, será incapaz de hacer grandes cosas. 
de Cervantes Saavedra	Miguel	Un gran hombre demuestra su grandeza por el modo en que trata a los que son o tienen menos que él. 
